task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
132	70/6bec5e	8647	minimap_pipeline:minimap (m32_SQK-NBD114-24_barcode10)	COMPLETED	0	2024-12-22 19:09:44.047	4m 16s	4m 16s	216.8%	7 GB	10.6 GB	10.9 GB	8.9 GB
138	e9/eb4af4	39244	minimap_pipeline:minimap (oy61_SQK-NBD114-24_barcode19)	COMPLETED	0	2024-12-22 19:13:08.227	1m 17s	1m 17s	202.8%	4.8 GB	9.9 GB	3.6 GB	2 GB
137	50/fd359c	34927	minimap_pipeline:minimap (oy11_SQK-NBD114-24_barcode03)	COMPLETED	0	2024-12-22 19:12:50.283	1m 36s	1m 35s	212.6%	5.1 GB	10 GB	4.4 GB	2.7 GB
139	20/6de475	41690	minimap_pipeline:minimap (S09_SQK-NBD114-24_barcode03)	COMPLETED	0	2024-12-22 19:13:19.200	1m 29s	1m 29s	213.5%	4.8 GB	10 GB	4.1 GB	2.5 GB
143	00/eaddfe	53443	minimap_pipeline:minimap (S20_d_EXP-NBD104_barcode04)	COMPLETED	0	2024-12-22 19:14:26.331	24.2s	23.7s	211.5%	4 GB	6.8 GB	1.5 GB	70.9 MB
142	e3/91adaa	53079	minimap_pipeline:minimap (S07_SQK-NBD114-24_barcode02)	COMPLETED	0	2024-12-22 19:14:25.500	2m 12s	2m 11s	202.0%	5.7 GB	10.5 GB	5.7 GB	3.9 GB
141	e2/d64248	48873	minimap_pipeline:minimap (oy13_SQK-NBD114-24_barcode05)	COMPLETED	0	2024-12-22 19:13:59.982	2m 42s	2m 42s	240.1%	5.4 GB	9.8 GB	6.9 GB	5.1 GB
140	c4/056f29	42871	minimap_pipeline:minimap (oy63_SQK-NBD114-24_barcode21)	COMPLETED	0	2024-12-22 19:13:23.920	3m 41s	3m 41s	211.0%	6.4 GB	10.4 GB	9.2 GB	7.3 GB
147	37/d50950	73772	minimap_pipeline:minimap (sd3_SQK-NBD114-24_barcode18)	COMPLETED	0	2024-12-22 19:16:42.228	31.4s	30.8s	215.1%	3.9 GB	7 GB	1.9 GB	418 MB
146	47/0005e3	72574	minimap_pipeline:minimap (m07_SQK-NBD114-24_barcode06)	COMPLETED	0	2024-12-22 19:16:37.023	45.5s	45.3s	198.4%	4.2 GB	9.5 GB	2.5 GB	972.5 MB
